"Id";"CODMAQUINA";"MAQUINA";"Sector"
1;"C0";"HONG-YUENG";"CONF-CAMISETA"
2;"C1";"Polimaquina 850";"CONF-CAMISETA"
3;"C2";"Polimaquina 1100";"CONF-CAMISETA"
4;"C3";"Polimaquina 1100";"CONF-CAMISETA"
5;"C4";"Polimaquina 1100";"CONF-CAMISETA"
6;"C5";"Polimaquina 1100";"CONF-CAMISETA"
7;"C6";"Polimaquina 1300";"CONF-CAMISETA"
8;"C7";"Polimaquina 1300";"CONF-CAMISETA"
9;"C8";"AMUTEC 1240";"CONF-ARRANQUE"
10;"C9";"AMUTEC 1240";"CONF-ARRANQUE"
11;"C10";"AMUTEC 1340";"CONF-ARRANQUE"
12;"C11";"AMUTEC 1240";"CONF-ARRANQUE"
13;"C12";"AMUTEC 1340";"CONF-ARRANQUE"
14;"C13";"AMUTEC 1240";"CONF-ARRANQUE"
15;"C14";"AMUTEC 1240";"CONF-FONDO"
16;"C15";"AMUTEC 1340";"CONF-FONDO"
17;"C16";"Polimaquina 850";"CONF-FONDO"
18;"C17";"AMUTEC 1340";"CONF-FONDO"
19;"C18";"Polimaquina 850 Fondo";"CONF-FONDO"
20;"C19";"LYM funda";"CONF-FONDO"
21;"C20";"AMUTEC 1340 Doble cabezal";"CONF-ARRANQUE"
22;"C21";"POLIMAQUINA 1300";"CONF-FONDO"
23;"SC1";"Selladora Continua 1";"CONF-FONDO"
24;"SC2";"Selladora Continua 2";"CONF-FONDO"
25;".";"Sin uso";"SIN USO"
26;"R19";"AMUTEC ROLLER 1860";"CONF-FONDO"
27;"R18";"AMUTEC ROLLER1380";"CONF-FONDO"
28;"R14";"AMUTEC ROLLER 1380";"CONF-FONDO"
29;"R15";"AMUTEC ROLLER 1380";"CONF-FONDO"
30;"R16";"AMUTEC ROLLER 1240";"CONF-FONDO"
31;"R17";"AMUTEC DOBLE 1240";"CONF-FONDO"
32;"E0";"MAM";"EXTRUSIÓN"
33;"E1";"ROR 90";"EXTRUSIÓN"
34;"E2";"ROR 75";"EXTRUSIÓN"
35;"E3";"ROR 75";"EXTRUSIÓN"
36;"E4";"CARNEVALLI PLUS 80";"EXTRUSIÓN"
37;"E5";"CARNEVALLI PLUS 80";"EXTRUSIÓN"
38;"E6";"CARNEVALLI PLUS 80";"EXTRUSIÓN"
39;"E7";"MAM";"EXTRUSIÓN"
40;"E8";"CARNEVALLI PLUS 75";"EXTRUSIÓN"
41;"E9";"ROR 75";"EXTRUSIÓN"
42;"E10";"CARNEVALLI TRICAPA";"EXTRUSIÓN"
